hotel_name, class_of_rating, rating_score
Amazing Apartment- Walking Distance to Times SQ,very good,8.3
Times Square Lux Highrise,good,7.8
Beautiful apartment next to Central Park,good,7.6
Spacious Apartment in Prime Location,good,7.7
Midtown East Spacious Apartment,good,7.1
Heart of Midtown,N/A,N/A
Nice Apartment in the Heart of Upper East Side,very good,8.5
John Street Apartment,N/A,N/A
East Village Apartments,wonderful,9.4
Sanctuary NYC Retreats,excellent,8.7
The Allen Hotel,excellent,8.7
Midtown West 2 Bedroom Apartment,excellent,8.6
Tribeca Lofts,good,7.7
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,excellent,8.9
Sunny & Luxurious West Village Residence - 3 Bedrooms!,N/A,N/A
New York Marriott Marquis,very good,8.2
AKA Central Park,excellent,8.6
Apartments Upper West Side,N/A,N/A
Holiday Inn Express - Times Square South,very good,8.3
Residence Inn by Marriott New York Manhattan/Central Park,very good,8.3
Beautiful apartment next to Central Park,good,7.6
Crowne Plaza Times Square,very good,8.2
The Allen Hotel,excellent,8.7
The Dominick Hotel,very good,8.5
Midtown East Spacious Apartment,good,7.1
Sofitel New York,excellent,8.6
AKA Wall Street,wonderful,9.2
Heart of Midtown,N/A,N/A
The Manhattan at Times Square,good,7.0
Midtown West 2 Bedroom Apartment,excellent,8.6
Hotel Central Fifth Avenue,good,7.7
Dream Midtown,very good,8.2
Oakwood at the Nash,excellent,8.7
The William,wonderful,9.0
Hotel Lucerne,very good,8.5
Westin New York at Times Square,very good,8.0
Hotel Wales,very good,8.1
Sanctuary NYC Retreats,excellent,8.7
Four Points by Sheraton Manhattan Chelsea,very good,8.2
Best Western Premier Herald Square,very good,8.5
Royalton New York,very good,8.1
Nice Apartment in the Heart of Upper East Side,very good,8.5
East Village Apartments,wonderful,9.4
John Street Apartment,N/A,N/A
Amsterdam Court Hotel,good,7.3
Midtown East Deluxe 2 Bedroom Apartment,good,7.5
Cachet Boutique Hotel NYC,very good,8.0
Hilton Garden Inn New York Times Square South,excellent,8.7
Aloft Manhattan Downtown - Financial District,very good,8.2
Moderne Hotel,very good,8.5
AKA Sutton Place,wonderful,9.3
Hotel on Rivington,very good,8.4
Mondrian Park Avenue,excellent,8.9
Avalon Hotel,very good,8.4
Sunny & Luxurious West Village Residence - 3 Bedrooms!,N/A,N/A
Hampton Inn Manhattan - Times Square South,very good,8.3
Bentley Hotel,good,7.7
6th Ave Apartment,good,7.5
Chalsea Studio,wonderful,9.3
Holiday Inn Manhattan Financial District,very good,8.2
Club Quarters Hotel World Trade Center,excellent,8.6
Hilton New York Grand Central,good,7.5
Hotel on Rivington,very good,8.4
Mondrian Park Avenue,excellent,8.9
Gramercy Park Hotel,very good,8.4
Sunny & Luxurious West Village Residence - 3 Bedrooms!,N/A,N/A
Hampton Inn Manhattan - Times Square South,very good,8.3
Bentley Hotel,good,7.7
6th Ave Apartment,good,7.5
Chalsea Studio,wonderful,9.3
Hampton Inn Times Square Central,excellent,8.8
Hampton Inn Manhattan-SoHo| NY,good,7.9
Courtyard New York Manhattan/Midtown East,very good,8.3
Global Luxury Suites at 90 Washington,N/A,N/A
DoubleTree by Hilton New York Times Square South,good,7.4
Today House - Times Square North,wonderful,9.4
Hamilton Heights Lovely Apartments,good,7.6
Q&A Residential Hotel,wonderful,9.1
The Ritz-Carlton New York| Battery Park Hotel,excellent,8.6
Hilton Garden Inn New York/Tribeca,very good,8.2
Manhattan NYC,N/A,N/A
Four-Bedroom Chelsea Apartment,N/A,N/A
Global Luxury Suites at Ritz Plaza,N/A,N/A
Your Home in Harlem,excellent,8.8
Global Luxury Suites at The Pearl,N/A,N/A
Home NYC,exceptional,9.6
Central Park N Residence,wonderful,9.4
Eli place Room C,N/A,N/A
Radisson Martinique on Broadway,very good,8.2
Oakwood at 830 8th Ave,N/A,N/A
Soho Penthouse,N/A,N/A
Quaint one bedroom close to the UN,N/A,N/A
Times Square HighLine Two Bedroom,N/A,N/A
MADE Hotel,wonderful,9.1
Home Away From Home,good,7.9
LUMA Hotel - Times Square,wonderful,9.2
Amazing Apartment- Walking Distance to Times SQ,very good,8.3
2 Bedroom Apartment in Hell's Kitchen,N/A,N/A
8th Avenue Apartment Apt C,N/A,N/A
Splendid Apartment by Times SQ,very good,8.2
The Gatsby Hotel,N/A,N/A
Cassa NYC 70W45,N/A,N/A
Hotel Edison Times Square,good,7.5
Park Lane Hotel - A Central Park Hotel,good,7.7
Gansevoort Meatpacking,very good,8.3
Trump International New York,excellent,8.8
Spectacular Duplex 4 Bedroom 3 Bath Lincoln Center,N/A,N/A
Warwick New York,very good,8.5
citizenM New York Times Square,wonderful,9.2
Residence Inn by Marriott New York Manhattan/Times Square,very good,8.2
The Standard| High Line New York,very good,8.3
The Watson Hotel,good,7.8
Hyatt Centric Times Square New York,excellent,8.8
West 86th Apartment,N/A,N/A
Element Times Square West,very good,8.0
Ultra design and luxurious Apartment - Doorman and Gym,N/A,N/A
La Quinta Inn & Suites Manhattan,very good,8.0
Very Central West Village Apartment,N/A,N/A
Carnegie Hotel,excellent,8.9
Executive Hotel Le Soleil New York,excellent,8.6
Spectacular Duplex 4 Bedroom 3 Bath Lincoln Center,N/A,N/A
Warwick New York,very good,8.5
citizenM New York Times Square,wonderful,9.2
The Standard| High Line New York,very good,8.3
The Watson Hotel,good,7.8
West 86th Apartment,N/A,N/A
Element Times Square West,very good,8.0
Ultra design and luxurious Apartment - Doorman and Gym,N/A,N/A
La Quinta Inn & Suites Manhattan,very good,8.0
Very Central West Village Apartment,N/A,N/A
Carnegie Hotel,excellent,8.9
Executive Hotel Le Soleil New York,excellent,8.6
Blakely New York Hotel,excellent,8.6
Courtyard by Marriott New York Manhattan/Central Park,very good,8.0
2 Bedrooms Suite in Financial Disctrict,very good,8.3
Cambria hotel & suites New York - Times Square,excellent,8.8
Wellington Hotel,good,7.6
The Beekman| a Thompson Hotel,wonderful,9.3
NOVO360,N/A,N/A
Soho Grand Hotel,very good,8.5
Wyndham New Yorker Hotel,good,7.8
Pod 39,very good,8.2
Arlo SoHo,excellent,8.7
RIU Plaza New York Times Square,excellent,8.7
Chelsea Duplex Apartment,N/A,N/A
The Ludlow Hotel,wonderful,9.0
Sweet Home,N/A,N/A
The Modern @ Rockefeller,N/A,N/A
Staybridge Suites - Times Square - New York City,very good,8.2
Arlo NoMad,excellent,8.9
Chelsea Duplex Apartment,N/A,N/A
The Ludlow Hotel,wonderful,9.0
Sweet Home,N/A,N/A
The Modern @ Rockefeller,N/A,N/A
The Evelyn,very good,8.2
NYC Charmer| Central Park/Lincoln Center,N/A,N/A
Broadway at Times Square Hotel,very good,8.4
Designer luxurious 2 Bedroom Apartment with Gym| Doorman| Midtown EAST,N/A,N/A
New York Marriott Marquis,very good,8.2
1 Hotel Central Park,wonderful,9.0
Hotel Beacon,excellent,8.8
Oakwood Aurora Midtown East,N/A,N/A
The Santana,N/A,N/A
FiDi 3bed/2baths,N/A,N/A
The Quin,excellent,8.8
West Village 3 bedrooms with 4 baths,N/A,N/A
NoMo SoHo,very good,8.3
Millennium Hilton New York One UN Plaza,very good,8.4
Hilton Garden Inn Central Park South,very good,8.3
Hotel Stanford NYC,good,7.9
NOVO417,N/A,N/A
Heart of Hell's Kitchen 4 bedroom apartment,N/A,N/A
NOVO205,N/A,N/A
Millennium Broadway Times Square,good,7.8
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,very good,8.3
Shoreham Hotel,good,7.5
Greenwich Street V,N/A,N/A
Manhattan Brownstone,N/A,N/A
The Redbury New York,very good,8.1
The Alicia,N/A,N/A
Two Bedroom Apartment In Midtown West,N/A,N/A
The Hotel @ New York City,good,7.5
Studio,N/A,N/A
TRYP by Wyndham Times Square South,very good,8.4
LIFE Hotel| NoMad,very good,8.1
The Time New York,very good,8.3
Holiday Inn Express - Times Square South,very good,8.3
The NoMad Hotel,wonderful,9.0
Sixty LES,very good,8.3
Lotte New York Palace,excellent,8.8
Longacre House,N/A,N/A
Residence Inn by Marriott New York Manhattan/Central Park,very good,8.3
Empire Hotel,good,7.5
New York Hilton Midtown,good,7.9
Washington Square Hotel,excellent,8.6
Sixty LES,very good,8.3
Longacre House,N/A,N/A
Empire Hotel,good,7.5
New York Hilton Midtown,good,7.9
Washington Square Hotel,excellent,8.6
Pod Times Square,excellent,8.9
Crowne Plaza Times Square,very good,8.2
Luxury Studio Apartment - Midtown West B,very good,8.3
Ameritania at Times Square,very good,8.3
InterContinental New York Barclay Hotel,excellent,8.9
Hotel Hayden New York,very good,8.0
Dream Downtown,good,7.9
Heritage Hotel New York City,good,7.2
MOXY NYC Times Square,very good,8.5
TIMES SQ LUXURY 3BR DPLX,N/A,N/A
1st Ave. Apt 4,N/A,N/A
Elizabeth Sreet Apt 3,N/A,N/A
The Marlton Hotel,excellent,8.8
Sofitel New York,excellent,8.6
YOTEL New York Times Square,very good,8.3
World Center Hotel,excellent,8.6
Sohotel,very good,8.2
EVEN Hotel New York - Midtown East 44th,excellent,8.7
City Club Hotel,very good,8.4
Bridgestreet at Beekman Towers,very good,8.1
Mott Street Apt 1A,N/A,N/A
East 28th Street Apt 13,N/A,N/A
East 28th Street Apt 22,N/A,N/A
East 28th Street Apt 17,N/A,N/A
East 28th Street Apt 23,N/A,N/A
East 28th Street Apt 23,N/A,N/A
West 46th Street Apt 4C,N/A,N/A
Thompson Street Apt 4D,N/A,N/A
West 89th Street Apt 2F,N/A,N/A
West 45th Street Apt 3R,N/A,N/A
West 49th Street Apt 3A,N/A,N/A
West 49th Street Apt 5A,N/A,N/A
West 47TH Street Apt 3B,N/A,N/A
East 51st Street Apt 2F,N/A,N/A
East 37th Street Apt 3R,N/A,N/A
East 37th Street Apt 3F,N/A,N/A
East 7th Street Apt 1A,N/A,N/A
East 15th Street Apt 4F,N/A,N/A
East 15th Street Apt 3R,N/A,N/A
West 18th Street Apt 2R,N/A,N/A
West 18th Street Apt 2R,N/A,N/A
Sullivan Street Apt 5R,N/A,N/A
Sullivan Street Apt 3R,N/A,N/A
West 15th Street Apt 3RR,N/A,N/A
West 15th Street Apt 3F,N/A,N/A
West 15th Street Apt 2F,N/A,N/A
Delancey Street Apt 14,N/A,N/A
Grant Street Apt 2F,N/A,N/A
Spring Street Apt 1F,N/A,N/A
Mulberry & Grand Street Apt 1,N/A,N/A
Elizabeth & Spring St. Apt. 1,N/A,N/A
Elizabeth Street & Kenmare Street Apt 1,N/A,N/A
Lafayette Street Apt 7,N/A,N/A
2nd Avenue Apt 4,N/A,N/A
The New York EDITION,wonderful,9.0
Lafayette Street Apt 7,N/A,N/A
2nd Avenue Apt 4,N/A,N/A
The New York EDITION,wonderful,9.0
Ace Hotel New York,very good,8.4
Brand New| Luxury Alcove Studio | full service building,N/A,N/A
Cassa Hotel 45th Street New York,excellent,8.7
La Quinta Inn & Suites New York City Central Park,good,7.6
Little Italy Grand,very good,8.3
Sheraton New York Times Square Hotel,good,7.6
Hotel Boutique at Grand Central,excellent,8.6
Lexington Ave Apartment 3,N/A,N/A
East 61st Street Apt 3,N/A,N/A
West 45th Street Apt 209,N/A,N/A
East 82nd Street Apt 4D,N/A,N/A
East 83rd Street Apt 2C,N/A,N/A
East 7th Street Apt 1B,N/A,N/A
Sullivan Street Apt 4F,N/A,N/A
East 15th Street Apt 3F,N/A,N/A
West 18th Street Apt 3F,N/A,N/A
Sullivan Street & West 3rd Apt 3F,N/A,N/A
Sullivan Street Apt 1R,N/A,N/A
East 37th Street & Lexington Ave. Apt 3F,N/A,N/A
Mulberry Street Apt 7 - Mulberry,N/A,N/A
Mulberry Street Apt 2,N/A,N/A
Delancey St. Apt 16,N/A,N/A
Lexington Ave Apt 3D,N/A,N/A
Mulberry Street Apt 16,N/A,N/A
Lexington Ave. Apt 6D,N/A,N/A
Grant Street Apt 2G,N/A,N/A
Elizabeth Street & Kenmare St. Apt 3,N/A,N/A
West 18th Street Apt 3F,N/A,N/A
Sullivan Street & West 3rd Apt 3F,N/A,N/A
Sullivan Street Apt 1R,N/A,N/A
East 37th Street & Lexington Ave. Apt 3F,N/A,N/A
Mulberry Street Apt 7 - Mulberry,N/A,N/A
Mulberry Street Apt 2,N/A,N/A
Delancey St. Apt 16,N/A,N/A
Lexington Ave Apt 3D,N/A,N/A
Mulberry Street Apt 16,N/A,N/A
Lexington Ave. Apt 6D,N/A,N/A
Grant Street Apt 2G,N/A,N/A
Elizabeth Street & Kenmare St. Apt 3,N/A,N/A
Elizabeth Street & East Houston Street Apt 12,N/A,N/A
Lafayette Street Apt 2,N/A,N/A
Elizabeth & Spring St. Apt. 3,N/A,N/A
Elizabeth & Spring St. Apt. 2,N/A,N/A
Elizabeth Street & Kenmare Street Apt 3,N/A,N/A
1st Ave Apt 2,N/A,N/A
Lafayette Street Apt 1,N/A,N/A
1st Ave Apt 11,N/A,N/A
Delancey Street Apt 201,N/A,N/A
Bowery & Broome Street Apt 4F,N/A,N/A
Luxury Apartments Upper East Side,N/A,N/A
Furnished room,N/A,N/A
The Knickerbocker,excellent,8.8
Club Quarters Hotel| Opposite Rockefeller Center,very good,8.1
The Pearl Hotel,excellent,8.9
Midtown West,N/A,N/A
West 51st Street Apt 1A,N/A,N/A
Thompson Street Apt 3C,N/A,N/A
East 37th Street & Lexington Ave. Apt 4F,N/A,N/A
East 37th Street & Lexington Ave. Apt 3R,N/A,N/A
East 37th Street & Lexington Ave. Apt 2R,N/A,N/A
East 37th Street & Lexington Ave. Apt 1R,N/A,N/A
West 12th Street Apt 3B,N/A,N/A
Delancey St. Apt 4,N/A,N/A
West 12th Steet Apt 4B,N/A,N/A
Elizabeth Street Apt 18,N/A,N/A
Elizabeth Street Apt 1,N/A,N/A
Mulberry Street Apt 14,N/A,N/A
Mulberry Street Apt 9,N/A,N/A
Delancey Street Apt 18,N/A,N/A
Elizabeth Street Apt 9,N/A,N/A
Lafayette Street Apt 6,N/A,N/A
Kenmare Street Apt. 9,N/A,N/A
Elizabeth Street & Kenmare Street Apt 2,N/A,N/A
East 28th Street Apt 5,N/A,N/A
Midtown Lodging,very good,8.3
Downtown Grand Apartment,N/A,N/A
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,excellent,8.8
The Manhattan at Times Square,good,7.0
The Roger,very good,8.4
First Ave & 92nd Street Apt 3,N/A,N/A
West 47th Street Apt 2B,N/A,N/A
West 49th Street Apt 4A,N/A,N/A
East 52nd Street Apt 4F,N/A,N/A
East 7th Street Apt 1R,N/A,N/A
West 15th Street 4A,N/A,N/A
East 37th Street Apt 1R,N/A,N/A
East 7th Street Apt 1M,N/A,N/A
East 37th Street Apt 1R,N/A,N/A
East 7th Street Apt 1M,N/A,N/A
Sullivan Street Apt 2F,N/A,N/A
Lexington Ave Apt 4C,N/A,N/A
West 106th St. Apt 4B,N/A,N/A
Spring Street Apt 6,N/A,N/A
Mulberry Street Apt 11,N/A,N/A
Mulberry Street Apt 1,N/A,N/A
Prince Street Apt 12,N/A,N/A
Ludlow St. Apt 3A,N/A,N/A
1st Ave Apt 7,N/A,N/A
Broom St. Apt 5W,N/A,N/A
Bowery Apt 2F,N/A,N/A
Lovely Apartment in Midtown West,N/A,N/A
Luxury Suites in Murray Hill,N/A,N/A
Lovely Apartment in Midtown West,N/A,N/A
Luxury Suites in Murray Hill,N/A,N/A
Candlewood Suites NYC -Times Square,very good,8.1
Hotel Hugo,very good,8.1
W New York - Times Square,good,7.9
Four-Bedroom on E 62nd Street Apt 2,N/A,N/A
Lexington Ave Apartment 4A,N/A,N/A
East 51st Street Apt 4G,N/A,N/A
East 28th Street Apt 11,N/A,N/A
West 47th Street Apt 1C,N/A,N/A
Sullivan Street Apt 1C,N/A,N/A
West 18th Street Apt 1F,N/A,N/A
Sullivan Street Apt 1F,N/A,N/A
East 7th Street Apt 2F,N/A,N/A
East 37th Street Apt 5R,N/A,N/A
Sullivan Street Apt 1F,N/A,N/A
East 7th Street Apt 2F,N/A,N/A
East 37th Street Apt 5R,N/A,N/A
East 37th Street Apt 5F,N/A,N/A
Elizabeth Street Apt 8,N/A,N/A
Mulberry Street Apt 15,N/A,N/A
Delancey St. Apt 20,N/A,N/A
Lexington Ave Apt 6F,N/A,N/A
Lexington Ave Apt 4E,N/A,N/A
Elizabeth Street Apt 3,N/A,N/A
Prince Street Apt 2,N/A,N/A
Prince Street Apt 11,N/A,N/A
1st Ave Apt 9,N/A,N/A
Spring St. Apt 2F,N/A,N/A
Chrystie Street Apt 5,N/A,N/A
West 12th Street Apt 3C,N/A,N/A
West 12th Street Apt 3A,N/A,N/A
Lexington Ave Apt 2F,N/A,N/A
Lexington Ave Apt 2E,N/A,N/A
Spring Street Apt 5,N/A,N/A
Hyatt Herald Square New York,very good,8.3
Charming 2 Bedroom in the heart of Midtown East,N/A,N/A
citizenM New York Bowery,N/A,N/A
The Gallivant Times Square,good,7.3
Park Central,good,7.8
SIXTY SoHo,excellent,8.6
Four Points by Sheraton Manhattan Midtown West,very good,8.5
Four Points by Sheraton Midtown - Times Square,very good,8.3
West 47th Street Apt 1A,N/A,N/A
West 108th St. Apt 2W,N/A,N/A
Cozy Manhattan Apartment,N/A,N/A
Thompson Street Apt 3A,N/A,N/A
East 7th Street Apt 1C,N/A,N/A
East 51st Street Apt 3F,N/A,N/A
Sullivan Street & West 3rd Apt 4F,N/A,N/A
Hotel Belleclaire,good,7.9
Gorgeous 2 Beds Apt in Times Square,N/A,N/A
East 61st Street Apt 2,N/A,N/A
East 82nd Street Apt 5B,N/A,N/A
West 15th Street 1F,N/A,N/A
Mulberry Street Apt 12,N/A,N/A
Broome St. Apt 3W,N/A,N/A
Hotel Indigo Lower East Side,excellent,8.7
Apartment #3E,N/A,N/A
Dream Midtown,very good,8.2
East 51st Street Apt 4H,N/A,N/A
East 85th Street Apt 1D,N/A,N/A
Gracious Apartment in Midtown West,N/A,N/A
302-19,N/A,N/A
East 52nd Street Apt 1B,N/A,N/A
Chic and Beautiful Home center of the World NYC,N/A,N/A
U Hotel Fifth Avenue,good,7.9
Night Hotel Times Square,good,7.6
Huge 2 Bed 2 Bath Apartment in Building with Elevator,N/A,N/A
Fifty NYC-an Affinia hotel,very good,8.3
Club Quarters Hotel| Grand Central,excellent,8.7
West 15th Street 4D,N/A,N/A
Cassa Hotel Times Square,very good,8.1
The Peninsula New York,excellent,8.6
Harlem Grand,N/A,N/A
The Peninsula New York,excellent,8.6
Harlem Grand,N/A,N/A
The Roxy Hotel Tribeca,excellent,8.9
East 37th Street & Lexington Ave. Apt 4R,N/A,N/A
Midtown Convention Center Hotel NYC,pleasant,6.7
West Side YMCA,good,7.1
The Marcel at Gramercy,very good,8.1
Global Luxury Suites in Murray Hill,N/A,N/A
Luxury Two Bedroom Apartment - Midtown West G,N/A,N/A
Courtyard New York Manhattan/Times Square,very good,8.4
The Bowery Hotel,wonderful,9.1
Best Western Plus Hospitality House Suites,very good,8.4
Room Mate Grace Boutique Hotel,excellent,8.7
The Pierre| A Taj Hotel| New York,excellent,8.9
Two Bedroom Apartment - West 58th Street,very good,8.3
Refinery Hotel - New York,wonderful,9.0
Hyatt Union Square New York,excellent,8.7
Bryant Park Hotel,wonderful,9.2
The Standard - East Village,excellent,8.8
Andaz 5th Avenue-a concept by Hyatt,excellent,8.7
DoubleTree by Hilton Metropolitan New York City,good,7.8
West 15th Street 4C,N/A,N/A
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,excellent,8.8
The London NYC,very good,8.3
Midtown 4 Bedroom Residence 2,N/A,N/A
Time Square,N/A,N/A
3/2 Central Park #4,N/A,N/A
Wingate by Wyndham Manhattan Midtown,good,7.6
The French Quarters,wonderful,9.2
NOVO417-2B,N/A,N/A
Modern 2 Bedroom Apartment NYC,N/A,N/A
11 Howard,very good,8.5
UWS furnished One bedroom,N/A,N/A
Modern Three Bedroom Apartment - Upper East Side,good,7.9
Pod 51,very good,8.0
The Jewel Facing Rockefeller Center,excellent,8.7
The Manhattan Club,very good,8.4
The Frederick Hotel,very good,8.3
The Surrey,excellent,8.7
SoHo Garden Hotel,good,7.7
Stewart Hotel,good,7.8
East Village Convenient Apartment,N/A,N/A
RIFF Downtown,good,7.7
Cambria Hotel & Suites New York - Chelsea,excellent,8.8
Hotel Wolcott,good,7.8
The Manhattan Club,very good,8.4
The Frederick Hotel,very good,8.3
The Surrey,excellent,8.7
SoHo Garden Hotel,good,7.7
East Village Convenient Apartment,N/A,N/A
RIFF Downtown,good,7.7
Cambria Hotel & Suites New York - Chelsea,excellent,8.8
Hotel Wolcott,good,7.8
HI NYC Hostel,very good,8.5
st nicholas terrace,N/A,N/A
Studios Midtown Manhattan,very good,8.4
Loews Regency New York Hotel,excellent,8.8
Excelsior Hotel,very good,8.3
Mulberry Street Apt 13,N/A,N/A
Exquisite 2 Bedroom 2 Baths all modern and High end Furniture,N/A,N/A
Newly Renovated Three Bedroom Lower East Side,very good,8.2
Stylish 2 Bed in Soho,N/A,N/A
IBEROSTAR 70 Park Avenue Hotel,very good,8.3
The Mercer,excellent,8.9
One Bedroom Apartment - Two Columbus Place,good,7.3
Mandarin Oriental New York,excellent,8.6
Fairfield Inn by Marriott New York Manhattan/Financial District,very good,8.3
Conrad New York,wonderful,9.1
Distrikt Hotel New York City,excellent,8.6
Courtyard by Marriott Times Square West,excellent,8.6
Hotel 32 32,very good,8.0
Club Quarters Hotel Midtown - Times Square,very good,8.0
St Marks Hotel,good,7.0
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,very good,8.3
Royalton New York,very good,8.1
Sheraton Tribeca New York Hotel,good,7.8
Two Bedroom Apartment with City View - Lincoln Center,good,7.8
TEN15NYC,very good,8.3
Greenwich Village 2 bed 1 bath,N/A,N/A
Global Luxury Suites at The Liane,N/A,N/A
Times Square Studio 46,very good,8.5
San Carlos Hotel New York,excellent,8.9
Homewood Suites Midtown Manhattan Times Square South,excellent,8.9
Murray Hill East Suites,very good,8.4
Days Hotel Broadway at 94th Street,pleasant,6.9
Beautiful Downtown Apartments NYC,N/A,N/A
Studio Plus - Midtown Spacious Apartment,good,7.6
Vanderbilt YMCA,good,7.2
Chelsea Pines Inn,very good,8.5
Park West Hotel,good,7.1
339 East Apartment #232482 Apts,N/A,N/A
DoubleTree by Hilton NYC - Financial District,good,7.8
The Premier Times Square by Millennium,very good,8.3
Holiday Inn Express - Times Square,good,7.7
INNSIDE by Melià New York Nomad,excellent,8.7
